FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1
Maksymilian,Stryjek,GLK,SUN,4000000,0,0,0,0,0,0,2922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4485,0,0,0,0,0,0,0,0,0,
Cristhian,Stuani,FWD,MID,4600000,0,54,2.3,5.00E-07,1.17E-05,0,450227,4,15,0,0,0,4,0,11.7,0,-4,0,54,4,0,0,0,4,0,4,0,0,2.4,487812,0,0,0,1,1355,0,0,0,203,
Daniel,Sturridge,FWD,LIV,9700000,5,54,2.7,2.78E-07,5.57E-06,0,99153,1,7,0,0,0,3,0,5.6,0,-3,0,54,3,0,0,0,2,0,3,0,5,1.9,120356,0,283,0,0,775,0,0,0,180,
Mario,Suarez,MID,WAT,4500000,0,0,0,0,0,0,7164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,337,0,69,0,0,0,0,0,0,0,
Isaac,Success,MID,WAT,5700000,0,28,0.252252252,4.43E-08,4.91E-06,0,4695,2,9,0,0,0,1,0,4.9,0,-3,0,28,3,0,0,0,0,0,1,0,1,0,2391,0,0,0,0,519,0,0,0,87,
Andrew,Surman,MID,BOU,4600000,2,44,2,4.35E-07,9.57E-06,0,9703,1,38,0,0,0,0,0,9.6,0,-4,0,44,4,0,0,0,0,0,4,0,1,0.1,2544,0,385,0,0,1800,0,0,1,288,
Sam,Surridge,FWD,BOU,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Franck,Tabanou,DEF,SWA,4400000,0,0,0,0,0,0,1617,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,
Dusan,Tadic,MID,SOU,6900000,2,108,3.3,4.78E-07,1.57E-05,0,285911,4,29,0,0,0,3,0,15.7,0,-6,0,108,6,0,1,0,4,0,13,0,7,2,163774,0,564,0,1,2411,0,0,0,376,
Matt,Targett,DEF,SOU,4100000,0,12,0.108108108,2.64E-08,2.93E-06,0,37697,0,4,0,0,0,0,0,2.9,0,-4,0,12,4,0,0,0,0,0,1,0,0,0.2,14063,0,169,0,0,373,0,0,0,80,
James,Tarkowski,DEF,BUR,4000000,1,23,0.207207207,5.18E-08,5.75E-06,0,83844,1,11,0,0,0,0,0,5.8,0,0,0,23,0,0,0,0,0,0,1,0,0,1.8,82824,0,0,0,0,568,0,0,0,111,
Joel,Taylor,DEF,STK,4000000,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,
Neil,Taylor,DEF,SWA,4100000,0,22,2,4.88E-07,5.37E-06,0,65601,1,26,0,0,0,0,0,5.4,0,-4,0,22,4,0,0,0,0,0,2,0,1,0.1,25730,0,321,0,0,920,0,0,0,160,
Stuart,Taylor,GLK,SOU,4000000,0,0,0,0,0,0,2866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4916,0,0,0,0,0,0,0,0,0,
Dionatan do Nascimento,Teixeira,DEF,STK,4000000,0,0,0,0,0,0,33839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3510,0,12,0,0,0,0,0,0,0,
John,Terry,DEF,CHE,5200000,1,21,0.189189189,3.64E-08,4.04E-06,0,188863,1,9,0,0,0,1,0,4,0,-3,0,21,3,0,0,0,0,0,1,0,0,1.9,76770,0,228,0,0,496,0,0,0,97,
,Thomas Robson,DEF,SUN,4000000,0,0,0,0,0,0,5053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5860,0,0,0,0,0,0,0,0,0,
