FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
James,McArthur,MID,CRY,4800000,0,78,3.5,7.29166666666667E-07,1.625E-05,0,183220,5,31,0,0,0,5,0,16.3,3056,-2,0,78,2,0.1,0,0.5,8,0,2,0,2,1.4,224875,0,282,0,1,1663,1196,0,0,306,Watford,Chelsea,Southampton,Arsenal,Leicester,4.1,2.3,2.8,2.5,4.2,1.9,4.4,2.7,4.3,3.3
Gareth,McAuley,DEF,WBA,5200000,1,110,3.9,7.5E-07,2.11538461538462E-05,0,566289,4,37,0,0,0,6,0,21.2,23834,7,0,110,-7,0.8,0,4,12,0,5,0,1,32.4,1445692,1,339,0,4,2520,12771,0,0,464,Arsenal,Man Utd,Watford,Southampton,Liverpool,5.6,3.2,3.2,5.4,5.8,0,4.7,2.8,4.9,3.8
Oliver,McBurnie,FWD,SWA,4500000,0,4,0.0476190476190476,1.05820105820106E-08,8.88888888888889E-07,0,5542,0,2,0,0,0,0,0,0.9,73,0,0,4,0,0,0,0,0,0,0,0,0,0.1,6589,0,0,0,0,66,59,0,0,14,Bournemouth,Middlesbrough,Tottenham,West Ham,Watford,0,0,0,0,0,0,0,0,0,0
Alex,McCarthy,GLK,SOU,4300000,0,0,0,0,0,0,5758,0,0,0,0,0,0,0,0,20,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,751,0,82,0,0,0,4,0,0,0,Tottenham,Bournemouth,Crystal Palace,West Brom,Man City,0,0,0,0,0,0,0,0,0,0
James,McCarthy,MID,EVE,4800000,0,23,0.273809523809524,5.70436507936508E-08,4.79166666666667E-06,0,14775,2,10,0,0,0,1,0,4.8,740,-2,0,23,2,0.1,0,0.7,0,0,0,0,1,0.2,6625,0,365,0,0,613,11,0,0,100,Hull City,Liverpool,Man Utd,Leicester,Burnley,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
James,McClean,MID,WBA,4800000,2,40,0.476190476190476,9.92063492063492E-08,8.33333333333333E-06,0,13244,6,18,0,0,0,1,0,8.2,68,-2,1,40,2,0.2,0,1,1,0,2,0,2,0.1,9575,0,336,0,0,1000,23,-1,0,176,Arsenal,Man Utd,Watford,Southampton,Liverpool,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2
Luke,McGee,GLK,TOT,4000000,0,0,0,0,0,0,3160,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3188,0,0,0,0,0,18,0,0,0,Southampton,Burnley,Swansea,Watford,Bournemouth,0,0,0,0,0,0,0,0,0,0
Allan,McGregor,GLK,HUL,4400000,0,0,0,0,0,0,1017,0,0,0,0,0,0,0,0,6,-1,0,0,1,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,2,0,0,0,Everton,West Ham,Middlesbrough,Man City,Stoke,0,0,0,0,0,0,0,0,0,0
Callum,McManaman,MID,WBA,4300000,0,0,0,0,0,0,8670,0,0,0,0,0,0,0,0,47,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,4308,0,27,0,0,0,0,0,0,0,Arsenal,Man Utd,Watford,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0
Patrick,McNair,DEF,SUN,4200000,0,12,0.142857142857143,3.40136054421769E-08,2.85714285714286E-06,0,15324,0,9,0,0,0,0,0,2.9,44,-3,0,12,3,0,0,0,0,0,1,0,0,0.2,4912,1,28,0,0,353,12,0,0,58,Burnley,Watford,Leicester,Man Utd,West Ham,0,0,0,0,0,0,0.1,0.1,0.1,0.1
Sam,McQueen,MID,SOU,4200000,0,19,0.226190476190476,5.38548752834467E-08,4.52380952380952E-06,0,5769,0,8,0,0,0,0,0,4.5,294,-3,0,19,3,0,0,0,0,0,1,0,1,0.1,8959,0,0,0,0,495,424,0,0,112,Tottenham,Bournemouth,Crystal Palace,West Brom,Man City,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1
Ben,Mee,DEF,BUR,4700000,0,72,2.6,5.53191489361702E-07,1.53191489361702E-05,0,89238,5,42,0,0,0,1,0,15.3,4889,2,0,72,-2,0.1,0,0.7,2,0,6,0,2,3.6,211652,1,0,0,0,2520,2710,0,0,468,Sunderland,Tottenham,Stoke,Middlesbrough,Everton,1.3,3.2,3.4,1.6,1.3,2.3,2.2,3.4,2,3.6
Nampalys,Mendy,MID,LEI,4400000,0,6,0.0714285714285714,1.62337662337662E-08,1.36363636363636E-06,0,30941,1,5,0,0,0,0,0,1.4,106,-1,0,6,1,0,0,0,0,0,1,0,0,0.3,3623,0,0,0,0,269,8,0,0,26,West Ham,Stoke,Sunderland,Everton,Crystal Palace,0,0,0,0,0,0,0,0,0,0
Per,Mertesacker,DEF,ARS,4800000,0,0,0,0,0,0,5404,0,0,0,0,0,0,0,0,35,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1603,0,265,0,0,0,67,0,0,0,West Brom,Man City,West Ham,Crystal Palace,Middlesbrough,0,0,0,0,0,0,0,0,0,0
David,Meyler,MID,HUL,4400000,1,33,1.6,3.63636363636364E-07,7.5E-06,0,17961,2,23,0,0,0,1,0,7.5,159,-1,0,33,1,0.2,0,0.7,0,0,2,0,0,0.2,15568,0,0,0,0,962,37,0,0,179,Everton,West Ham,Middlesbrough,Man City,Stoke,0.8,0.8,1.3,0.8,0.8,1.5,0.8,1.5,0.8,1
